modell,teststandort,alpha,mae_direkte_fehlerprognose
Distanz + RIX + Wald + Wind,Bad Berleburg,1.0,0.0773077600271867
Distanz + RIX + Wald + Wind,Borken-Coesfeld,1.0,0.0240918394287726
Distanz + RIX + Wald + Wind,Lorup,1.0,0.0479011410638028
Distanz + RIX + Wald + Wind,Ostfriesland,1.0,0.0283544319246805
Distanz + RIX + Wald + Wind,Paderborn,10.0,0.0502697169140792
Distanz + RIX + Wald + Wind,Rheda-Beckum,1.0,0.020116703543217
Distanz + Gelaendehoehe + Rauigkeit + Wald,Alpen-Sevelen,1.0,0.0272132015755614
Distanz + Gelaendehoehe + Rauigkeit + Wald,Altenmellrich,1.0,0.0495822108878259
Distanz + Gelaendehoehe + Rauigkeit + Wald,Bad Berleburg,1.0,0.0485178969368836
Distanz + Gelaendehoehe + Rauigkeit + Wald,Borken-Coesfeld,1.0,0.0412906378803444
Distanz + Gelaendehoehe + Rauigkeit + Wald,Lorup,1.0,0.0746464975510947
Distanz + Gelaendehoehe + Rauigkeit + Wald,Ostfriesland,1.0,0.03831845312901
Distanz + Gelaendehoehe + Rauigkeit + Wald,Paderborn,1.0,0.0559233858621774
Distanz + Gelaendehoehe + Rauigkeit + Wald,Rheda-Beckum,1.0,0.0254289049214997
Distanz + Gelaendehoehe + Rauigkeit + Wind,Alpen-Sevelen,1.0,0.0208486978844335
Distanz + Gelaendehoehe + Rauigkeit + Wind,Altenmellrich,1.0,0.0554835739348143
Distanz + Gelaendehoehe + Rauigkeit + Wind,Bad Berleburg,1.0,0.0579021842332636
Distanz + Gelaendehoehe + Rauigkeit + Wind,Borken-Coesfeld,1.0,0.0311473598090219
Distanz + Gelaendehoehe + Rauigkeit + Wind,Lorup,1.0,0.0474237028090221
Distanz + Gelaendehoehe + Rauigkeit + Wind,Ostfriesland,1.0,0.0347866070317244
Distanz + Gelaendehoehe + Rauigkeit + Wind,Paderborn,1.0,0.0536567496236632
Distanz + Gelaendehoehe + Rauigkeit + Wind,Rheda-Beckum,1.0,0.0232348886024308
Distanz + Gelaendehoehe + Wald + Wind,Alpen-Sevelen,1.0,0.0202262484547905
Distanz + Gelaendehoehe + Wald + Wind,Altenmellrich,1.0,0.052307357929102
Distanz + Gelaendehoehe + Wald + Wind,Bad Berleburg,1.0,0.0526983114938004
Distanz + Gelaendehoehe + Wald + Wind,Borken-Coesfeld,1.0,0.0285674696743163
Distanz + Gelaendehoehe + Wald + Wind,Lorup,1.0,0.0515296833553029
Distanz + Gelaendehoehe + Wald + Wind,Ostfriesland,1.0,0.0293905224029093
Distanz + Gelaendehoehe + Wald + Wind,Paderborn,1.0,0.0550497194861338
Distanz + Gelaendehoehe + Wald + Wind,Rheda-Beckum,1.0,0.0217809718341299
Distanz + Rauigkeit + Wald + Wind,Alpen-Sevelen,1.0,0.0208963013324442
Distanz + Rauigkeit + Wald + Wind,Altenmellrich,1.0,0.0530983749566001
Distanz + Rauigkeit + Wald + Wind,Bad Berleburg,1.0,0.0480122136769923
Distanz + Rauigkeit + Wald + Wind,Borken-Coesfeld,1.0,0.028244249484071
Distanz + Rauigkeit + Wald + Wind,Lorup,1.0,0.0568876790738081
Distanz + Rauigkeit + Wald + Wind,Ostfriesland,1.0,0.0310389356215047
Distanz + Rauigkeit + Wald + Wind,Paderborn,1.0,0.0508212808774665
Distanz + Rauigkeit + Wald + Wind,Rheda-Beckum,1.0,0.0206546737694142
RIX + Gelaendehoehe + Rauigkeit + Wald,Alpen-Sevelen,1.0,0.0219525428243133
